,Compound_Score,Negative_Score,Neutral_Score,Positive_Score,Screen_Name,Time,Tweets,Tweets_Ago
30,0.875,0.0,0.607,0.393,BBC,2018-04-08 13:23:39+00:00,"RT @BBCSport: What a nice surprise 😍💍

Two of @TeamEngland 's basketball players got engaged on court at the Commonwealths. 

Congrats @Jam…",31
31,0.2732,0.0,0.488,0.512,BBC,2018-04-08 13:03:04+00:00,😂 'Surprise me'. https://t.co/Jo7illTafh,32
32,-0.0772,0.058,0.942,0.0,BBC,2018-04-08 11:00:15+00:00,"When doctors found a large tumour on little Poppy’s brain, her parents faced one of the toughest decisions of their life… 
#Hospital https://t.co/xPmgDgjrl2",33
33,0.5859,0.0,0.787,0.213,BBC,2018-04-08 10:15:06+00:00,"RT @BBCSport: Beauty queen ✅
Commonwealth Games weightlifting silver medallist ✅

Introducing Sarah Davies...

#GC2018 #bbcgoldcoast https:…",34
34,0.3818,0.0,0.894,0.106,BBC,2018-04-08 10:01:07+00:00,"From Ordeal by Innocence to the return of The Handmaid’s Tale, here are @BBC_Culture's pick of programmes to watch this month. 👉 https://t.co/fXz49hqASS https://t.co/P0CU9dAJtR",35
35,0.0,0.0,1.0,0.0,BBC,2018-04-08 09:08:02+00:00,"🦍💬 Not only can Koko the gorilla use sign language, she also appears to have learnt to lie...

https://t.co/xXZwlLDLJh",36
36,0.0,0.0,1.0,0.0,BBC,2018-04-08 08:17:18+00:00,RT @BBCOne: .@johnkrasinski's got MOVES. #TheGrahamNortonShow #TGNS https://t.co/2HUMM0ixEW,37
37,0.6369,0.0,0.792,0.208,BBC,2018-04-08 08:08:07+00:00,"Football, volleyball AND martial arts? ️⚽️🥋🤔

Sepak Takraw is the best sport you've never heard of... 

https://t.co/ngTwJHEmrI",38
38,0.3612,0.0,0.783,0.217,BBC,2018-04-08 07:02:06+00:00,🐳 Meet the gargantuan air freighter that looks like a whale. https://t.co/7DPUt8okKU,39
39,0.5719,0.0,0.748,0.252,BBC,2018-04-07 18:00:22+00:00,❤️🎶 @NiallOfficial's Live Lounge cover of @JuliaMichaels' Issues is just perfect.  https://t.co/XpsnR29hPU,40
40,0.0,0.0,1.0,0.0,BBC,2018-04-07 17:19:26+00:00,"RT @CBeebiesHQ: Goodnight @ChrisEvans,🌙 

Chris reads Goodnight Goodnight Construction site tonight. 🏗️ 

#BedtimeStory is at 6:50pm 😴💤 htt…",41
41,-0.7269,0.405,0.523,0.072,BBC,2018-04-07 17:04:03+00:00,🦁😢 Lions are often poisoned to prevent them attacking livestock. https://t.co/254nhtlMW5,42
42,0.6515,0.0,0.581,0.419,BBC,2018-04-07 16:00:23+00:00,"😲 Some VERY impressive maths here. 
#UniversityChallenge https://t.co/crvQQ5V3Vn",43
43,0.6908,0.0,0.769,0.231,BBC,2018-04-07 15:01:03+00:00,"Doctors are finding one way that sugar can benefit your health - it may help heal wounds resistant to antibiotics.
👉 https://t.co/0HGlFWkxh8 https://t.co/xJkuJB94rw",44
44,0.0,0.0,1.0,0.0,BBC,2018-04-07 14:33:46+00:00,"RT @BBCRadio2: ""The clunk of putting the cassette in, snapping it shut... oh wait I'm going to rewind to get to the start of the song. It's…",45
45,0.0,0.0,1.0,0.0,BBC,2018-04-07 14:00:31+00:00,"🌎📸 Our pick of the most striking news photographs taken around the world recently.
👉 https://t.co/zPpuZq9hOC https://t.co/fYUTrG44Ra",46
46,-0.5719,0.222,0.778,0.0,BBC,2018-04-07 13:00:20+00:00,How did this new mum survive in the chaos that followed Hurricane Maria? https://t.co/Nx7uFz1k56,47
47,0.0018,0.129,0.703,0.168,BBC,2018-04-07 12:07:08+00:00,"For Dr Joel Salinas, music creates colours, numbers have personalities and another person's pain feels almost like his own...
👉 https://t.co/VUiulpHF0f https://t.co/EXsXx4qhjf",48
48,0.0,0.0,1.0,0.0,BBC,2018-04-07 11:19:19+00:00,"RT @bbcthree: 94-year-old Judo Jack says: ""Get off your butt and do something."" https://t.co/M9CzCtwSqe",49
49,0.0,0.0,1.0,0.0,BBC,2018-04-07 11:00:57+00:00,RT @BBCR1: It's been one whole year of Sign Of The Times and we need to know whether @Harry_Styles finally let Chris Martin be head of his…,50
50,0.69,0.0,0.749,0.251,BBC,2018-04-07 11:00:18+00:00,"What an inspiration! 💪 

❤️ Fraser shed the pounds to pursue his wrestling dream, in memory of his mother. https://t.co/LWmuGo6dTN",51
51,0.0,0.0,1.0,0.0,BBC,2018-04-07 10:26:52+00:00,"RT @BBCSport: It's a historic victory for Uganda! 🙌 

Earlier today they recorded their first ever victory at the Commonwealth games with a…",52
52,-0.6966,0.15,0.85,0.0,BBC,2018-04-07 10:05:06+00:00,"🍓🍒 Did you know that cherries and strawberries represented the souls of men? Or that a dragonfly could be the devil? 

🎨 The secret symbols in still-life painting.
👉 https://t.co/MwfvxbbRyJ https://t.co/Ta0sVxXzty",53
53,-0.8658,0.338,0.662,0.0,BBC,2018-04-07 09:00:12+00:00,"Losing your hair whilst going through cancer treatment can be distressing. 

This shop decided to try and do something about it. https://t.co/wogHvIS0xU",54
54,0.0,0.0,1.0,0.0,BBC,2018-04-07 08:00:16+00:00,🗑🤖 This trash collecting robot can be controlled by anyone via the internet. https://t.co/N2gbeP2nIo,55
55,0.34,0.0,0.906,0.094,BBC,2018-04-07 07:54:05+00:00,"RT @bbcgetinspired: 'Women don't just stay at home and look after the kids, we don't just do dance or gymnastics, we play tennis, football…",56
56,0.4588,0.0,0.769,0.231,BBC,2018-04-07 07:03:06+00:00,😍🐿 These baby red squirrels are too cute to handle. https://t.co/d2r7c8EyUh,57
57,0.0,0.0,1.0,0.0,BBC,2018-04-06 19:48:37+00:00,"RT @bbcmusic: Jade, this was INCREDIBLE 😍
#SoundsLikeFridayNight https://t.co/rSGnYVTFYu",58
58,0.0,0.0,1.0,0.0,BBC,2018-04-06 18:07:07+00:00,🤔 Modern life is a mystery. https://t.co/a4817Iugzz,59
59,0.3612,0.0,0.894,0.106,BBC,2018-04-06 17:32:05+00:00,"Tune in to #SLFN tonight for performances from @snowpatrol, @Meghan_Trainor, @yearsandyears and @halsey. 🎶🎤🎉

Sounds Like Friday Night | 7:30pm | @BBCOne | https://t.co/acCxYg6EXI https://t.co/udKDxZOWQN",60
60,0.0,0.0,1.0,0.0,BBC,2018-04-06 16:13:08+00:00,RT @bbcpointswest: 🤩 Prince Harry and Meghan Markle arrive in Bath for the Invictus Games trials 🤩 https://t.co/ywlHvaHt2z,61
61,-0.1531,0.124,0.78,0.096,BBC,2018-04-06 16:08:04+00:00,"😂 If you're going to get dumped on TV, it might as well be via @KylieMinogue. 

#TheGNShow | 10.35pm | @BBCOne https://t.co/CgfsjKjeob",62
62,-0.7777,0.332,0.621,0.047,BBC,2018-04-06 16:02:36+00:00,"RT @BBCNewsround: Ever wondered why we cry when we chop onions? Now you'll have no excuse to avoid cooking dinner, sorry! 😂https://t.co/SyX…",63
63,0.6037,0.0,0.64,0.36,BBC,2018-04-06 15:23:45+00:00,"RT @BBCOne: MY OLD FRIEND.

#OrdealByInnocence #Sunshine https://t.co/vQBvcgLrCe",64
64,0.8126,0.0,0.791,0.209,BBC,2018-04-06 15:22:01+00:00,"🎻 Two years ago @ShekuKM won @BBCYoungMus. 
Now he wants to inspire other young people to pick up an instrument too. 

BBC Young Musician: Forty Years Young | Watch on @BBCiPlayer https://t.co/Mw55P0alyZ",65
65,0.0,0.0,1.0,0.0,BBC,2018-04-06 15:20:18+00:00,"RT @bbcgetinspired: She's only 11 years old, but @sport_wales' Anna Hursey is smashing it at #GC2018! 🙌 

➡ https://t.co/9sFYGzsgnQ #GetIns…",66
66,0.0,0.0,1.0,0.0,BBC,2018-04-06 15:02:33+00:00,RT @bbcmusic: Counting down the seconds TBH 💅@LittleMix https://t.co/6UTrz9gqQr,67
67,0.5499,0.282,0.332,0.385,BBC,2018-04-06 15:02:05+00:00,🍞🍻 Hate food waste but love beer? https://t.co/IL9jmlaMjs,68
68,-0.5849,0.31,0.559,0.13,BBC,2018-04-06 14:30:39+00:00,"RT @BBCRadio3: ""Stop being so selfish – this isn’t about you."" Harsh words - or tough love?
Zeynep, Jess and Sam discuss one teacher’s cont…",69
69,0.0,0.0,1.0,0.0,BBC,2018-04-06 14:07:06+00:00,"🐘 🦏🦒🔭
Saving animals using space technology. https://t.co/gAwJcD2I2A",70
70,-0.4215,0.171,0.741,0.088,BBC,2018-04-06 13:02:05+00:00,"🍿🎟 From a near-silent horror film to an Australian Western, here are 8 movies worth watching in April. 
👉 https://t.co/i1AXH0ZiTi https://t.co/efLpZCBoMS",71
71,0.0,0.0,1.0,0.0,BBC,2018-04-06 12:18:09+00:00,RT @BBCOne: For all the drama queens. 👑 https://t.co/RfdMDieaCZ,72
72,0.2023,0.0,0.899,0.101,BBC,2018-04-06 12:03:05+00:00,💃🕺 Meet the dancers from Lagos who've been tipped for the top by @Rihanna and @NaomiCampbell. https://t.co/3ySZPqcyBr,73
73,0.8617,0.0,0.689,0.311,BBC,2018-04-06 11:32:15+00:00,"RT @BBCSport: Gareth Evans absolutely loved it! 💪 

This is how it felt to win Wales' first gold! 🥇🏴󠁧󠁢󠁷󠁬󠁳󠁿

#GC2018 #bbcgoldcoast https://t…",74
74,0.0,0.0,1.0,0.0,BBC,2018-04-06 11:00:06+00:00,"🦁🦏🐆 
Royal pets are now more synonymous with corgis than wild animals, but historically monarchs would own an array of exotic creatures, often given as lavish gifts.
👉 https://t.co/GSEWEyEhMN

#Civilisations https://t.co/MUHkbYMTgT",75
75,0.0,0.0,1.0,0.0,BBC,2018-04-06 10:10:03+00:00,"😻 Say hello to Willow the cheetah! 
#BigCatsAboutTheHouse https://t.co/e9xNVjR0gi",76
76,0.0,0.0,1.0,0.0,BBC,2018-04-06 08:58:33+00:00,RT @BBCSport: It all happened in the weightlifting... #GC2018 https://t.co/s8qnPsuyaz,77
77,0.0,0.0,1.0,0.0,BBC,2018-04-06 08:30:51+00:00,RT @BBCBreakfast: All you need to know about the 'sugar tax' and how your favourite soft drink may change. https://t.co/mjFwTN1UHs,78
78,0.25,0.0,0.905,0.095,BBC,2018-04-06 08:08:50+00:00,RT @bbcpress: 📸 #FirstLook at Eleanor Tomlinson and Rafe Spall in @BBCOne adaptation of H.G. Wells' #WarOfTheWorlds as filming begins: http…,79
79,0.0,0.0,1.0,0.0,BBC,2018-04-06 08:00:17+00:00,"😲🎨🇿🇦 Hotel or modern art museum?
#AmazingHotels https://t.co/Xbmjzviivh",80
80,0.4579,0.067,0.779,0.154,BBC,2018-04-06 07:00:09+00:00,"It might not always feel like it, but psychologist @sapinker is convinced that the world is on the up. https://t.co/a8PrDXjDcL",81
81,-0.6908,0.176,0.824,0.0,BBC,2018-04-05 20:02:00+00:00,"'There’s the England before Stephen, and there’s the England after Stephen.' 

Stephen: The Murder That Changed a Nation | 9pm 17th April | @BBCOne
#StephenLawrence https://t.co/TEIq2r1TVw",82
82,0.7096,0.0,0.629,0.371,BBC,2018-04-05 18:00:24+00:00,"🐆 Could building walkways in nature help save these big cats?
#BigCatsAboutTheHouse https://t.co/NdkxCDBpee",83
83,0.0,0.0,1.0,0.0,BBC,2018-04-05 17:02:05+00:00,"😋😋 Pocket-friendly recipes for two.
👉 https://t.co/CzuDNQNw3B https://t.co/xbrrmlIgNF",84
84,-0.765,0.32,0.68,0.0,BBC,2018-04-05 16:00:17+00:00,"👀 From illegal ivory to taxidermy, take a peek inside the banned wildlife room at Heathrow Airport. https://t.co/8yIok0eobX",85
85,0.0,0.0,1.0,0.0,BBC,2018-04-05 15:55:28+00:00,RT @bbccomedy: Smithy is an irl ray of #sunshine. https://t.co/NgA4t4jZob,86
86,0.0,0.0,1.0,0.0,BBC,2018-04-05 14:34:17+00:00,"RT @BBCTheOneShow: ..@DIYSOS  are building a gym and community area for the Grenfell community, but @MrNickKnowles needs something specific…",87
87,0.0028,0.118,0.724,0.159,BBC,2018-04-05 12:59:08+00:00,"RT @bbcmusic: STOP EVERYTHING: @GaryBarlow is coming to Sounds Like Friday Night 🙌💪 
Don't miss it: 7.30pm, Friday, @BBCOne 💫#SLFN https://…",88
88,0.4588,0.0,0.75,0.25,BBC,2018-04-05 12:37:24+00:00,"RT @BBCOne: You took your sweet time. 

#Poldark #sunshine https://t.co/Ep33Zt5YZi",89
89,-0.2263,0.112,0.888,0.0,BBC,2018-04-05 11:56:05+00:00,"It's time society stopped judging black women by their hair, British-Somali artist @blackpowerpufff says. 
#HairPolitics https://t.co/ur267YhKEQ",90
